NAME
hallo
VALUE RANGES
Blank Thickness
1 2 3
Binder Friction
1 2 3
Binder Pressure
1 2 56
Die Radius
1
Scale X
1
Scale Y
2
HEADER
Jobname,Status,Blank Thickness,Binder Friction,Binder Pressure,Die Radius,Scale X,Scale Y
START
hallo_BlTh_1_BiFr_1_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,1,1,1,1,1,2
hallo_BlTh_1_BiFr_1_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,1,1,2,1,1,2
hallo_BlTh_1_BiFr_1_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,1,1,56,1,1,2
hallo_BlTh_1_BiFr_2_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,1,2,1,1,1,2
hallo_BlTh_1_BiFr_2_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,1,2,2,1,1,2
hallo_BlTh_1_BiFr_2_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,1,2,56,1,1,2
hallo_BlTh_1_BiFr_3_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,1,3,1,1,1,2
hallo_BlTh_1_BiFr_3_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,1,3,2,1,1,2
hallo_BlTh_1_BiFr_3_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,1,3,56,1,1,2
hallo_BlTh_2_BiFr_1_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,2,1,1,1,1,2
hallo_BlTh_2_BiFr_1_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,2,1,2,1,1,2
hallo_BlTh_2_BiFr_1_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,2,1,56,1,1,2
hallo_BlTh_2_BiFr_2_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,2,2,1,1,1,2
hallo_BlTh_2_BiFr_2_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,2,2,2,1,1,2
hallo_BlTh_2_BiFr_2_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,2,2,56,1,1,2
hallo_BlTh_2_BiFr_3_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,2,3,1,1,1,2
hallo_BlTh_2_BiFr_3_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,2,3,2,1,1,2
hallo_BlTh_2_BiFr_3_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,2,3,56,1,1,2
hallo_BlTh_3_BiFr_1_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,3,1,1,1,1,2
hallo_BlTh_3_BiFr_1_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,3,1,2,1,1,2
hallo_BlTh_3_BiFr_1_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,3,1,56,1,1,2
hallo_BlTh_3_BiFr_2_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,3,2,1,1,1,2
hallo_BlTh_3_BiFr_2_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,3,2,2,1,1,2
hallo_BlTh_3_BiFr_2_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,3,2,56,1,1,2
hallo_BlTh_3_BiFr_3_BiPr_1_DiRa_1_ScX_1_ScY_2,pending,3,3,1,1,1,2
hallo_BlTh_3_BiFr_3_BiPr_2_DiRa_1_ScX_1_ScY_2,pending,3,3,2,1,1,2
hallo_BlTh_3_BiFr_3_BiPr_56_DiRa_1_ScX_1_ScY_2,pending,3,3,56,1,1,2
END DATA
